Criminal Rights|Political Rights|Group Rights|Economic Rights|Social Rights|Aspirational Rights
Double Jeopardy : Prohibits the state from charging an individual with a crime for which they have already been acquitted.|Press : Grants individuals the right to free expression in all forms of media.|Skin Color Non-Discrimination : Specifically protects certain rights on basis of skin color, or general reference to non-discrimination on basis of skin color.|Support for Unemployed : Obligates the state to provide financial support to unemployed persons.|Access to Higher Education : Grants individuals equal access to higher education. May be limited by aptitude tests.|Self-Determination : Grants groups of individuals the right to self-determination. May reference the nation as a whole, or specific groups of individuals.`
Self-Incrimination : Grants accused individuals the right to refuse questions that would confirm that individual's guilt.|Assembly : Grants individuals and groups the right to assemble in public places for legal purposes. Often linked with the right to protest.|Creed Non-Discrimination : Specifically protects certain rights on basis of creed, or general reference to non-discrimination on basis of creed.|Support for Disabled : Obligates the state to provide financial support to disabled persons.|Victim's Rights : Grants the victims of crimes special rights in the justice process. Examples include restitution, attendance at the trial, or opportunity to speak at the trial.|Development of Person : Grants individuals the right to develop and express their own personality.
No Punishment Without Law : Protects individuals from being prosecuted for actions that were not crimes at the time they were committed. |Association : Grants individuals the right to enter voluntary associations.|Social Status Non-Discrimination : Specifically protects certain rights on basis of social status, or general reference to non-discrimination on basis of social status.|Support for Children : Obligates the state to provide financial support to children or orphans.|Juvenile Criminal Rights : Grants juveniles special protections in the criminal justice system. These protections may include special courts, sentencing rules, or detention centers.|Environment : Obligates both citizens and the state to protect or preserve the environment.
Capital Punishment : Forbids the state from imposing the death penalty.|Conscientious Objectors : Grants religious or ethical objectors an exemption from combat duty. May require noncombat service instead.|Financial Non-Discrimination : Specifically protects certain rights on basis of property ownership, or general reference to non-discrimination on basis of property ownership.|Property : Grants individuals and corporations the right to own property, or general protection of property ownership.|Renounce Citizenship : Grants individuals the right to renounce their citizenship.|Arts : References artists or art. May require the state to support the arts.
False Imprisonment : Provides right of compensation or remedy for unjustified imprisonment, or imprisonment made in error. |Arms : Grants individuals the right to possess firearms and other weapons. May be subject to restrictions on use, transportation, or type of weapon.|Tribe/Clan Non-Discrimination : Specifically protects certain rights on basis of tribe or clan, or general reference to non-discrimination on basis of tribe or clan.|Occupation : Grants individuals the freedom to choose their occupation without government interference.|Birthright Citizenship : Provides right to citizenship upon birth to certain individuals. This right is usually subject to certain requirements, such as location of birth or parents' citizenship status.|Language Protection : Grants individuals the right to use their native language. 
Presumption of Innocence : Requires criminal defendants to be viewed as innocent until proven guilty. This requirement places the burden of proof on the prosecution.|Form Parties : Protects right to form or join political parties.|Party Non-Discrimination : Specifically protects certain rights on basis of party, or general reference to non-discrimination on basis of party.|Safe Working Environment : Grants individuals the right to a safe working environment. May include government obligation to provide safe working conditions.||Overthrow Government : Grants citizens right to depose the government under certain circumstances.
Torture : Forbids the state from torturing individuals. Torture may be allowed during times of war or crisis.|Suffrage : References expansion of voting rights to new groups.|Parentage Non-Discrimination : Specifically protects certain rights on basis of parentage, or general reference to non-discrimination on basis of parentage.|Child Labor : Protects children against exploitation in the workplace. May include special protections for child workers or a ban on child labor.||Childrens' Rights : Guarantees certain rights for children. Examples include state-provided healthcare or education.
Cruel and Unusual Punishment : Forbids cruel, inhuman, or degrading treatment.|||Free Market : Protects individuals and corporations from price-fixing, monopolies, and other anti-competitive strategies.||
Asylum : Obligates the state to offer assistance to stateless individuals or refugees.|||Debtors' Rights : Provides special protection to individuals who cannot meet their financial obligations.||
Amparo : Gives citizens the right to request judicial review for government violations of their rights.|||Intellectual Property : General reference to intellectual property rights.||
Extradition of Criminals : Provides special procedures for extradition of criminals to other states.|||||
Trial in Native Language : Grants individuals the right to a trial in their native language, or the right to an interpreter during the trial.|||||
Jury : Grants individuals the right to trial by jury.|||||
Counsel : Grants accused individuals the right to legal counsel.|||||
Corporal Punishment : Forbids the state from inflicting physical punishments such as whipping.|||||
