Title|ID|Variable|Constitution|Text
49|Expropriation of Property|exprop|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 41 &gt; 3</h3>     <p>The law may provide for expropriations or limitations in the exercise of a property right only in the public interest.</p> </section>  <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 41 &gt; 4</h3>     <p>Expropriations or limitations of a property right that amount to expropriation are permitted only against fair compensation.</p> </section>  <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 41 &gt; 5</h3>     <p>In the case of disagreements related to the amount of compensation, a complaint may be filed in court.</p> </section>
54|Due Process|dueproc|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 42 &gt; 1</h3>     <p>The liberty, property, and rights recognized in the Constitution and by law may not be infringed without due process.</p> </section>
55|Fair Trial|fairtri|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 42 &gt; 2</h3>     <p>Everyone, to protect his constitutional and legal rights, freedoms, and interests, or in the case of charges against him, has the right to a fair and public trial, within a reasonable time, by an independent and impartial court specified by law.</p> </section>
56|Public Trial|pubtri|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER II &gt; Article 42 &gt; 2</h3>     <p>Everyone, to protect his constitutional and legal rights, freedoms, and interests, or in the case of charges against him, has the right to a fair and public trial, within a reasonable time, by an independent and impartial court specified by law.</p> </section>
57|Suffrage|voteun|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER III &gt; Article 45 &gt; 1</h3>     <p>Every citizen who has reached the age of 18, even on the date of the elections, has the right to vote and to be elected.</p> </section>
58|Assembly|assem|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER III &gt; Article 47 &gt; 1</h3>     <p>The freedom to have peaceful meetings, without arms, and to participate in them is guaranteed.</p> </section>
59|Petition|petition|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER III &gt; Article 48</h3>     <p>Everyone, by himself or together with others, may address requests, complaints or comments to the public organs, which are obliged to answer within the time periods and under the conditions set by law.</p> </section>
60|Intellectual Property|intprop|Albania_2008| <section>     <h3>PART 2 &gt; CHAPTER IV &gt; Article 58 &gt; 2</h3>     <p>Copyright is protected by law.</p> </section>
62|Expropriation of Property|exprop|Algeria_2008| <section>     <h3>TITLE I &gt; CHAPTER III &gt; Article 20</h3>     <p>Expropriation cannot be undertaken except within the framework of an Act of Parliament.</p> </section>
63|Equality|equal|Algeria_2008| <section>     <h3>TITLE I &gt; CHAPTER IV &gt; Article 29</h3>     <p>The citizens shall be equal before the law without any discrimination on the basis of birth, race, gender, opinion or any other personal or social condition or circumstances.</p> </section>
64|Racial Non-Discrimination|equal4|Algeria_2008| <section>     <h3>TITLE I &gt; CHAPTER IV &gt; Article 29</h3>     <p>The citizens shall be equal before the law without any discrimination on the basis of birth, race, gender, opinion or any other personal or social condition or circumstances.</p> </section>
65|Gender Non-Discrimination|equal1|Algeria_2008| <section>     <h3>TITLE I &gt; CHAPTER IV &gt; Article 29</h3>     <p>The citizens shall be equal before the law without any discrimination on the basis of birth, race, gender, opinion or any other personal or social condition or circumstances.</p> </section>
67|Birthright Citizenship|solissuf|Algeria_2008| <section>     <h3>TITLE I &gt; CHAPTER IV &gt; Article 30</h3>     <p>Algerian citizenship shall be defined in an Act of Parliament.</p> </section>  <section>     <h3>TITLE I &gt; CHAPTER IV &gt; Article 31</h3>     <p>The institutions shall seek to ensure the equality of rights and duties of all citizens in suppressing the obstacles which obstruct the development of the human personality and impede the effective participation of all in the political, economic, social and cultural life.</p> </section>  <section>     <h3>TITLE I &gt; CHAPTER IV &gt; Article 32</h3>     <p>The fundamental liberties and the rights of man and of the citizen shall be guaranteed.</p> </section>
70|Cruel and Unusual Punishment|cruelty|Algeria_2008| <section>     <h3>TITLE I &gt; CHAPTER IV &gt; Article 34</h3>     <p>The State shall guarantee the inviolability of the human person.</p>     <p>Any form of physical or moral violence or infringement of dignity shall be prohibited.</p> </section>
71|Intellectual Property|intprop|Algeria_2008| <section>     <h3>TITLE I &gt; CHAPTER IV &gt; Article 38</h3>     <p>The freedom of intellectual, artistic and scientific creativity shall be guaranteed to the citizen.</p>     <p>The rights of authorship shall be protected by statute.</p>     <p>The seizure of any publication, recording or other means of communication and information may only be carried out on the basis of a judicial warrant.</p> </section>
72|Expression|express|Algeria_2008| <section>     <h3>TITLE I &gt; CHAPTER IV &gt; Article 41</h3>     <p>The freedoms of expression, association and assembly shall be guaranteed to the citizen.</p> </section>
73|Assembly|assem|Algeria_2008| <section>     <h3>TITLE I &gt; CHAPTER IV &gt; Article 41</h3>     <p>The freedoms of expression, association and assembly shall be guaranteed to the citizen.</p> </section>
74|Ex Post Laws|expost|Algeria_2008| <section>     <h3>TITLE I &gt; CHAPTER IV &gt; Article 46</h3>     <p>No one may be considered guilty except by virtue of a statute duly promulgated before the commission of the incriminating act.</p> </section>
75|Unjustified Restraint|habcorp|Algeria_2008| <section>     <h3>TITLE I &gt; CHAPTER IV &gt; Article 47</h3>     <p>No one may be pursued, arrested or detained except in the cases determined by statute and in accordance with the forms prescribed by it.</p> </section>
76|â€œNo Punishment Without Lawâ€ù|wolaw|Algeria_2008| <section>     <h3>TITLE I &gt; CHAPTER IV &gt; Article 47</h3>     <p>No one may be pursued, arrested or detained except in the cases determined by statute and in accordance with the forms prescribed by it.</p> </section>
77|Property|proprght|Algeria_2008| <section>     <h3>TITLE I &gt; CHAPTER IV &gt; Article 52</h3>     <p>Private property shall be guaranteed.</p> </section>
78|Suffrage|voteun|Algeria_2008| <section>     <h3>TITLE II &gt; CHAPTER I &gt; Article 71</h3>     <p>The President of the Republic shall be elected by universal, direct and secret suffrage.</p> </section>  <section>     <h3>TITLE II &gt; CHAPTER II &gt; Article 101</h3>     <p>The members of the People's National Assembly shall be elected by universal, direct and secret suffrage.</p> </section>
80|Public Trial|pubtri|Algeria_2008| <section>     <h3>TITLE II &gt; CHAPTER III &gt; Article 144</h3>     <p>Judicial decisions shall give reasons and shall be pronounced in public session.</p> </section>
81|Counsel|couns|Algeria_2008| <section>     <h3>TITLE II &gt; CHAPTER III &gt; Article 151</h3>     <p>The right to defense shall be recognized.</p>     <p>In criminal matters it shall be guaranteed.</p> </section>
82|Racial Non-Discrimination|equal4|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter I &gt; Article 6 &gt; 1</h3>     <p>All persons are equal before the law. No one may be discriminated against on grounds of birth, race, sex, origin, religion, opinions or any other personal or social condition.</p> </section>
83|Gender Non-Discrimination|equal1|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter I &gt; Article 6 &gt; 1</h3>     <p>All persons are equal before the law. No one may be discriminated against on grounds of birth, race, sex, origin, religion, opinions or any other personal or social condition.</p> </section>
84|Equality|equal|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter I &gt; Article 6 &gt; 1</h3>     <p>All persons are equal before the law. No one may be discriminated against on grounds of birth, race, sex, origin, religion, opinions or any other personal or social condition.</p> </section>
85|Birthright Citizenship|solissuf|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter II &gt; Article 7 &gt; 1</h3>     <p>The status of Andorran national, as well as its legal effects, is acquired, kept and lost in accordance with the regulations of a Qualified Law.</p> </section>  <section>     <h3>TITLE II &gt; Chapter II &gt; Article 7 &gt; 2</h3>     <p>The acquisition or retention of a nationality other than Andorran shall entail the loss of the latter, subject to the terms and periods established by law.</p> </section>
87|Life|life|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter III &gt; Article 8 &gt; 1</h3>     <p>The Constitution recognises the right to life and fully protects it in its different phases.</p> </section>
88|Cruel and Unusual Punishment|cruelty|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter III &gt; Article 8 &gt; 2</h3>     <p>All persons have the right to physical and moral integrity. No one shall be subjected to torture or to cruel, inhuman or degrading treatment or punishment.</p> </section>
89|Unjustified Restraint|habcorp|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter III &gt; Article 9 &gt; 1</h3>     <p>All persons have the right to liberty and security and shall only be deprived of them on such grounds and in accordance with such procedures as are established in the Constitution and the laws.</p> </section>  <section>     <h3>TITLE II &gt; Chapter III &gt; Article 9 &gt; 2</h3>     <p>Executive detention shall take no longer than the time needed to carry out the enquiries in relation to the clarification of the case, and in all cases the detained shall be brought before the judge within 48 hours.</p> </section>  <section>     <h3>TITLE II &gt; Chapter III &gt; Article 9 &gt; 3</h3>     <p>The law shall establish a procedure so that the detained may request the court to decide about the lawfulness of the detention. Likewise the law shall establish the procedure to restore the impaired fundamental rights of any person under detention.</p> </section>  <section>     <h3>TITLE II &gt; Chapter III &gt; Article 9 &gt; 4</h3>     <p>No one shall be held criminally or administratively liable on account of any acts or omissions which were lawful at the time when they were committed.</p> </section>
93|Ex Post Laws|expost|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter III &gt; Article 9 &gt; 4</h3>     <p>No one shall be held criminally or administratively liable on account of any acts or omissions which were lawful at the time when they were committed.</p> </section>
94|Speedy Trial|speedtri|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter III &gt; Article 10 &gt; 1</h3>     <p>All persons shall have the right to jurisdiction and to have a ruling founded in the law, and to a due trial before an impartial tribunal established by law.</p> </section>  <section>     <h3>TITLE II &gt; Chapter III &gt; Article 10 &gt; 2</h3>     <p>All persons shall have the right to counsel and the technical assistance of a competent lawyer, to trial within a reasonable time, to the presumption of innocence, to be informed of the charges against them, not to declare themselves guilty, not to testify against themselves and to appeal in criminal causes.</p> </section>  <section>     <h3>TITLE II &gt; Chapter III &gt; Article 10 &gt; 3</h3>     <p>In order to guarantee the principle of equality, the law shall regulate the cases when justice shall be free of cost.</p> </section>
95|Due Process|dueproc|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter III &gt; Article 10 &gt; 1</h3>     <p>All persons shall have the right to jurisdiction and to have a ruling founded in the law, and to a due trial before an impartial tribunal established by law.</p> </section>
96|â€œNo Punishment Without Lawâ€ù|wolaw|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter III &gt; Article 10 &gt; 1</h3>     <p>All persons shall have the right to jurisdiction and to have a ruling founded in the law, and to a due trial before an impartial tribunal established by law.</p> </section>
98|Counsel|couns|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter III &gt; Article 10 &gt; 2</h3>     <p>All persons shall have the right to counsel and the technical assistance of a competent lawyer, to trial within a reasonable time, to the presumption of innocence, to be informed of the charges against them, not to declare themselves guilty, not to testify against themselves and to appeal in criminal causes.</p> </section>
99|Self-Incrimination|miranda|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter III &gt; Article 10 &gt; 2</h3>     <p>All persons shall have the right to counsel and the technical assistance of a competent lawyer, to trial within a reasonable time, to the presumption of innocence, to be informed of the charges against them, not to declare themselves guilty, not to testify against themselves and to appeal in criminal causes.</p> </section>
101|Freedom of Religion|freerel|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter III &gt; Article 11 &gt; 1</h3>     <p>The Constitution guarantees the freedom of ideas, religion and cult, and no one is bound to state or disclose his or her ideology, religion or beliefs.</p> </section>
102|Press|press|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter III &gt; Article 12</h3>     <p>Freedoms of expression, of communication and of information are guaranteed. The law shall regulate the right of reply, the right of correction and professional secrecy. Preliminary censorship or any other means of ideological control on the part of the public authorities shall be prohibited.</p> </section>
103|Expression|express|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter III &gt; Article 12</h3>     <p>Freedoms of expression, of communication and of information are guaranteed. The law shall regulate the right of reply, the right of correction and professional secrecy. Preliminary censorship or any other means of ideological control on the part of the public authorities shall be prohibited.</p> </section>
104|Assembly|assem|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter III &gt; Article 16</h3>     <p>The right to meet and assemble for any lawful purpose shall be respected. The exercise of the right of assembly requires that the authorities be notified in advance, and shall not prevent the free movement of goods and people.</p> </section>
105|Petition|petition|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter III &gt; Article 23</h3>     <p>Everyone with a direct interest has the right to petition the public authorities in the form and with the effects provided by law.</p> </section>
106|Property|proprght|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter V &gt; Article 27 &gt; 1</h3>     <p>Private property and the rights of inheritance are recognised without other limits than those derived from the social function of property.</p> </section>
107|Expropriation of Property|exprop|Andorra_1993| <section>     <h3>TITLE II &gt; Chapter V &gt; Article 27 &gt; 1</h3>     <p>Private property and the rights of inheritance are recognised without other limits than those derived from the social function of property.</p> </section>  <section>     <h3>TITLE II &gt; Chapter V &gt; Article 27 &gt; 2</h3>     <p>No one shall be deprived of his or her goods or rights, unless upon justified consideration of the public interest, with just compensation by or pursuant to a law.</p> </section>
109|Suffrage|voteun|Andorra_1993| <section>     <h3>TITLE IV &gt; Chapter I &gt; Article 51 &gt; 3</h3>     <p>All Andorran nationals fully enjoying their political rights are entitled to vote and to be eligible for election.</p> </section>
110|Public Trial|pubtri|Andorra_1993| <section>     <h3>TITLE VII &gt; Article 86 &gt; 3</h3>     <p>Criminal trials are public, notwithstanding the limitations provided for by the law. Its procedure is preferently oral. The judgment which ends the first instance shall be rendered by a judicial organ different from the one in charge of the proceedings, and this judgment may always be subject to appeal.</p> </section>
112|Suffrage|voteun|Angola_2010| <section>     <h3>TITLE I &gt; Article 3 &gt; 1</h3>     <p>Single and indivisible sovereignty shall lie with the people, who shall exercise it through universal, free, equal, direct, secret and periodic suffrage in the various forms established in the Constitution, namely in order to choose their representatives.</p> </section>  <section>     <h3>TITLE I &gt; Article 17 &gt; 1</h3>     <p>Within the framework of the Constitution and the law, political parties shall compete on the basis of a project for society and a political programme for the organisation and expression of the will of citizens, participating in political life and universal suffrage by democratic and peaceful means and respecting the principles of national independence, national unity and political democracy.</p> </section>  <section>     <h3>TITLE II &gt; CHAPTER II &gt; SECTION I &gt; Article 54 &gt; 1</h3>     <p>Every citizen who has attained the age of eighteen years shall have the right to vote and stand for election for any state or local authority body and to serve their terms of office or mandates, under the terms of the Constitution and the law.</p> </section>  <section>     <h3>TITLE IV &gt; CHAPTER I &gt; Article 106</h3>     <p>(Appointment of the President of the Republic and Members of the National Assembly)</p>     <p>The President of the Republic and the Members of the National Assembly shall be elected by universal, direct, secret and periodic suffrage, under the terms of the Constitution and the law.</p> </section>  <section>     <h3>TITLE IV &gt; CHAPTER III &gt; SECTION I &gt; Article 143 &gt; 1</h3>     <p>Members shall be elected by universal, free, equal, direct, secret and periodic suffrage by national citizens aged over eighteen who are resident in national territory, including Angolan citizens resident abroad for the purposes of work, study, illness or similar reasons.</p> </section>  <section>     <h3>TITLE VI &gt; CHAPTER II &gt; Article 220 &gt; 2</h3>     <p>The Assembly shall be composted of local representatives elected by the universal, equal, free, direct, secret and periodic suffrage of the citizens who comprise the electorate in the respective local authority area, in accordance with the system of proportional representation.</p> </section>
